날짜,제목,내용,링크
-57,고조선 멸망과 위만조선 성립,고조선이 멸망하고 위만조선이 세워졌다.,
372,고구려 소수림왕 불교 수용,소수림왕이 불교를 받아들이며 국가체제를 강화하였다.,
476,백제 멸망,나당연합군에 의해 백제가 멸망했다.,
668,고구려 멸망,나당연합군에 의해 고구려가 멸망하였다.,
676,신라의 삼국 통일,신라가 당을 물리치고 한반도를 통일하였다.,
918,고려 건국,왕건이 고려를 건국하였다.,
958,과거제 실시,광종이 능력 중심의 인재 등용을 위해 과거제를 도입하였다.,
1392,조선 건국,이성계가 조선을 세웠다.,
1443,훈민정음 창제,세종대왕이 백성을 위한 글자인 훈민정음을 창제하였다.,
1592,임진왜란 발발,도요토미 히데요시가 조선을 침략하였다.,
1894,동학농민운동,전봉준을 중심으로 농민들이 봉기하였다.,
1905,을사늑약 체결,일본이 외교권을 박탈하며 을사늑약을 체결하였다.,
1910,한일병합,일본이 대한제국을 강제 병합하였다.,
1919,3.1운동,전국적인 독립 만세 운동이 일어났다.,
1945,광복,일본이 항복하고 조선이 해방되었다.,
1950,한국전쟁 발발,북한의 남침으로 전쟁이 시작되었다.,
1960,4.19 혁명,이승만 정권 퇴진을 위한 학생 운동이 발생하였다.,
1980,5.18 민주화운동,광주 시민들이 군사 정권에 저항하였다.,
1987,6월 항쟁,국민들이 민주주의를 요구하며 항쟁하였다.,
2000,남북정상회담,김대중 대통령이 김정일과 정상회담을 진행하였다.,
