시기,고구려,백제,신라,발해
1세기,"태조: 옥저·동예 정복, 요동 진출, 계루부 고씨 왕위 독점 세습",,,
2세기,"고국천왕: 왕위 부자상속, 진대법(을파소), 5부를 방위적 성격으로 개편",,,
3세기,동천왕: 서안평 공격→위 관구검이 침입,"고이왕: 율령 반포, 관등제 정리, 관리 복색 제정. 한강 장악, 왕위 상속제",,
4세기,"미천왕: 낙랑군 축출 대동강 유역 정복
고국원왕: 전사","근초고왕: 부자상속, 마한 통합, 평양 공격(고국원왕에게 승리), 동진과 통교, 규슈 교류. 요서 진출, 칠지도, 고흥 <서기>
침류왕: 불교 수용 및 공인 (동진에서 마라난타가)","내물왕: 진한 정복, 마립간 사용, 김씨 왕위 계승권, 고구려와 함게 가야와 왜 격퇴",
5세기,"광개토대왕: 영락 연호, 한강이북과 요동·만주 장악. 호우명 그릇을 신라에 줌
장수왕: 평양 천도, 남북조 교류, 남진 정책, 한강 유역 장악, 중원 고구려비","비유왕: 나제동맹
문주왕: 웅진 천도",눌지왕: 나제동맹,
6세기,"문자왕: 부여 복속, 최대영토","동성왕: 혼인 정책
무령왕: 22담로 왕족 파견
성왕: 사비천도, 남부여, 왜에 불교 전파, 5부 5방 관산성에서 전사","소지왕: 결혼동맹, 6촌→6부
지증왕: 신라 국호, 왕 칭호, 주군제, 우산국 복속, 동시전 설치
법흥왕: 건원 연호, 율령 반포, 골품제 정비, 17관등 병부·상대등, 공복제정, 불교 공인(이차돈 순교), 금관가야 정복
진흥왕: 개국 연호, 화랑도 개편, 불교 교단 정비, 한강 장악 대가야 정복, 단양적성비 등 순수비, 거칠부 <국사>",
7세기,"영양왕: 살수대첩(612)- 수양제 침입, 을지문덕
보장왕: 안시성 전투(645)-당 태종 침입, 천리장성 축조, 연개소문 양만춘 격퇴
나당 연합군의 협공으로 평양성 함락(668)","무왕, 의자왕
김유신vs계백-황산벌 전투
당의 협공으로 백강·탄현 방어선 붕괴, 사비성 함락(660)
부흥운동: 복신, 도침(주류성), 흑치상지(임존성)→백강전투(왜 지원)","무열왕(김춘추): 최초의 진골 출신, 집사부(시중) 설치. 중국식 시호 사용, 백제 멸망
문무왕: 통일신라(676), 식읍과 녹읍을 지급, 외사정 파견, 복산 도침의 저항
나당 전쟁: 웅진 도독부, 안동 도호부, 계림 도독부 매소성 전투, 기벌포 전투 승리 후 통일 달성","고왕: 돌궐 연합. 당 견제 (천통) 고구려 유민과 말갈족 통합
무왕: 북만주 일대 장악, 흑수말갈 공격, 장문휴의 (인안) 당 공격, 발해관
문왕: 요동반도 지배, 당 국교, 주자감, 신라도 (대흥) 중경상경 동경
성왕: 동경상경 (중흥)
선왕: (건흥) 말갈 복속, 쑹화~요하 진출 해동성국!"
통일신라 중대,,,"신문왕: 김흠돌의 난 전압 귀족 세력 숙정
9주 5소경, 9서당 10정, 국학 설치, 관료전 지급, 특 백지, 5묘제, 만파식적 설화 유행, 6두품 두각
성덕왕: 정전 지급 대당국교, 발해 침략 실패
경덕왕: 중시 시중, 관료전 폐지, 녹읍 부활, 태학, 석굴암, 불국사
혜공왕: 김지정의 반란, 성덕대왕 신종 완성",
통일신라 하대,,,"선덕왕: 내물왕계, 청성대, 모전석탑
원성왕: 독서삼품과
헌덕왕: 무열왕계 반란(웅진 도독 김헌장의 난)
흥덕왕: 장보고 청해진, 집사부 집사정
진성여왕: 원종 애노 난",
통일신라 문화,,,"원효: 일심사상(십문화쟁론), 아미타신앙으로 불교 대중화
의상: 화엄사상, 부석사, 낙산사
혜초: 왕오천축국전
원측: 서명사에서 학설 강의, 규기와 논쟁",
통일신라 경제,,,"조세 1/10. 공물, 역, 민정문서 3년마다
동시, 서시, 남시 / 공사무역(대당)
덩저우 법화원, 울산항 서역 내왕, 경주-동시전(시장 감독)",
통일신라 하대,,,"호족 발생, 풍수지리설, 승탑 유행, 선종(참선·실천) 유행
최치원(문성왕~): 시무책 제시
<계원필경>, <토황소격문>
<제왕연대력>: 중국과 신라 역대 왕조의 계보 수록",
발해 문화,,,,"발해석등, 모줄임 천장, 온돌 장치"
발해 통치,,,,"3성 6부, 정당성(대내상). 5경 15부 62주"
발해 멸망,,,,거란의 침입으로 멸망 (926)
