왕,수취제도,특징,대내 관계,문화
태조(이성계),"과전법: 경기지방에 한해 수조권 지급. 죽으면 반납, 수신 출양·공신 세습","조선경국전, 경제문감 민본적 통치 규범 마련
불교비판(불씨잡변), 한양 도읍, 개국공신 정도전",,"정도전: 불씨답변, 조선경국전"
태종(이방원),,"6조 직계제, 사간원 독립, 사병제 폐지, 사원과 사원노비 제한
양전사업 실시, 호패법 시행, 신문고 설치",진명사대교린,"하여가, 혼일강리역대국도지도(세계지도)"
세종,"공법: 전분6등법, 인분9등법","의정부 서사제, 집현전 설치, 경연 활성화, 훈민정음
유교정치 실현(국가 행사 오례 따름, 사대부에게 주자가례 장려)
여진 강경책: 압록강 최윤덕 4군, 두만강 김종서 6진을 설치 후 사민정책과 토관 제도 실시
일본 강경/회유: 이종무의 쓰시마섬 토벌/계해약조, 3포 개항",,"충신. 효자 등의 행적을 수록한 <삼강행실도> 편찬, 칠정산(달력) 간행, 용비어천가, 월인천강지곡, 신기전, 신찬팔도지리지, 고려사 시작, 향약집성방. 혼전의(정초, 정인지), 농사직설 등
박연 악기 개량, 정간보 제작, 종묘제례악 정비"
세조(수양대군),직전법: 현직 관리만 수조권. 수신 율량전 몰수→농장 확대,"6조 직계제, 집현전 폐지, 경연 폐지, 종친 등용
경국대전 시작
계유정난(김종서 제거)→ 훈구파 발생
함경도의 난(이정목, 이시애) 진압",,
성종,관수관급제,"의정부 서사제, 홍문관(경연, 서연) 설치, 경국대전 완성 및 반포
훈구세력의 전횡을 막기 위해 사림 등용",,"건원중보
각 도의 지리, 풍속 등이 수록된 <동국여지승람>, 고조선 고려까지 역사를 정리한 <동국통감>, 음악 이론서 <악학궤범>"
연산군,,무오사화: 김종직의 조의제문(김일손의 사초),,
중종,,"갑자사화: 폐비윤씨 사건
삼포왜란 비변사: 군사 임시 기구
조광조: 현량과, 소학 보급, 방납의 폐단 지적, 소격서 폐지, 향약
*향약: 서원과 함께 사람 세력 기반, 전통적 조직과 미풍양속 계승, 삼강오륜 중심
서원: 성리학 연구 기관, 유교 보급, 선현 제사. 향촌 결집
주세붕: 백운동 서원
기묘사화: 조광조의 위훈삭제",,"*성리학: 명분론(차별 정당화). 주자대전, 소학, 주자가례, 이륜행실도, 동계 가요. 족보, 동몽선습. 격몽요결 등
이황: 이(理) 강조, 근본적·이상주의적, 동방의 주자, 영남파 형성. <성학십도>, <주자서절요>
이이: 기(氣) 강조, 현실적 개혁적, 수미법, 기로학파 형성. <성학집요>, <동호문답>"
인종,,,,
명종,,"임꺽정
을묘왜변 비변사 상설기구화","외척정치(윤원형)/대윤vs소윤
→지주전호제 확산",
선조,"영정법: 지주제의 폐단 완화, 토지 1결 당 쌀 4~6두, 부과세","임진왜란(1592): 옥포, 한산도/정유재란: 명량, 노량 훈련도감,속오군 설치, 공명첩 발행
붕당 이조전랑",,황신의 일본왕환일기
광해군,"대동법(이수광): 공납의 기준을 토지 결수로 바꿈(1결 당 12두) 방납의 폐단 방지, 상품 화폐 경제 발전","중립외교(누르하치 후금에 강홍립 투항사건)
토지대장, new호적, 성곽과 무기 수리, 통신사 파견, 기유약조 (부산과 동래에 왜관)",북인 우세,"지봉유설(이수광)
동의보감(허준)
실학"
인조,,"서인 집권, 남인 공존
병자호란(1636) vs청
정묘호란(1627) vs금
주전론과 주화론의 대립, 군신관계 거절
인조가 남한산성으로 피신하여 항전 주화파 회의→삼전도의 굴욕
배경: 서인의 친명배금 이괄의 난
전개: 관군과 의병 활약 정봉수(용골산성), 이립(의주)의 활약
결과: 청과 군신관계 체결. 인질(소현세자)과 공물 요구
명과 국교 단절, 삼전도비, 김상헌과 3학사 불모
정묘약조, 후금과 명 사이 중립 약속",,"유형원(반계수록, 균전론)
이익(성호사설, 한전론)
정약용(목민심서, 경세유표, 정전제) 농업
유수원(우서)
홍대용(의산문답) 상공업
박지원(열하일기, 수레, 선박, 화폐유통, 양반전, 호질)
박제가(북학의, 소비 촉진) (북학파)"
숙종,,"금위영 설치
백두산 정계비, 간도 관리사 이범균 파견, 안용복(울릉도, 독도)",,
영조,"균역법: 대립(군포징수)의 폐단 방지. 1년 1필, 결작·선무군관포·어장세·어염세·선박세","탕평책 실시, 탕평비, 신문고, 형벌 완화
탕평론, 한국 발생",,"속대전, 속오예의
우리나라 역대 문물을 정리한 <동국문헌비고>"
정조,"금난전권 폐지, 통공정책
→개성상인, 경강상인 증가","규장각, 장용영(친위부대), 초계문신제
체제공: 금난전권의 혁파 건의",,"대전통편, 탁지지
창덕궁 후원의 주합루, 수원화성(정약용 거중기)"
